t_lon,t_lat,alpha
-43.39719447840025,-22.974861040115158,0.4963983582250896
-43.39773680428938,-22.97487163358387,0.4861353922835545
-43.39823249613677,-22.974886531613294,0.4653150944673396
-43.39865053024207,-22.974906375897874,0.43071702988821625
-43.39896076267914,-22.974931152761933,0.38197957629331564
-43.399132315997534,-22.974960822905214,0.3703313168272516
-43.39913441809506,-22.97499499395187,0.36255249955525887
-43.398936656936584,-22.97503282102185,0.4561341190989812
-43.398971102042196,-22.975073842528616,0.5061963259620221
-43.39900161735601,-22.975118133354055,0.5110483714485632
-43.39902734884917,-22.975164814891524,0.5170217368592132
-43.39904864746216,-22.975212888324222,0.527240566674282
-43.399064802832065,-22.97526243744634,0.5346289038531138
-43.39907498525284,-22.975313043746905,0.534572285639122
-43.39907926573756,-22.975363802604534,0.5292236626447823
-43.39907918526338,-22.975414644134506,0.5345643016820134
-43.39907285924303,-22.975465377692792,0.5357654116382666
-43.39906009615258,-22.975515102199783,0.531634748431794
-43.39904172892144,-22.97556372742373,0.5312097973370138
-43.39901776158611,-22.975611279154563,0.5345828026369498
-43.39898831713825,-22.975656343372464,0.5407664235396458
-43.39895429557511,-22.975697795378654,0.5493447049809637
-43.39891724404294,-22.97573485048448,0.5656949369203703
-43.39887554432462,-22.975767228106236,0.5725562137837961
-43.39882983299751,-22.9757949184755,0.5729147122227221
-43.39878118318381,-22.97581826089859,0.5720727976758099
-43.39872985864215,-22.975837549978944,0.5671078841647373
-43.39867623205444,-22.97585333799164,0.5598705089370326
-43.39862135316016,-22.97586662195927,0.5527276738981634
-43.39856645448653,-22.975878649742793,0.5535293121239404
-43.39851083041439,-22.975889369438626,0.5508376683543613
-43.398455022995925,-22.975899758511922,0.5495647857921716
-43.398399683597006,-22.975910991549775,0.5558763502914494
-43.398344805751364,-22.975923056891727,0.5676292451315832
-43.39828992790571,-22.97593512223368,0.5756662427414139
-43.39823505006005,-22.975947187575628,0.581219878171815
-43.39818017221441,-22.975959252917583,0.585155824901281
-43.398125294368754,-22.975971318259532,0.5878383622288955
-43.398070416523105,-22.975983383601484,0.5899246483847647
-43.398015538677456,-22.97599544894344,0.5916147778991774
-43.3979606608318,-22.97600751428539,0.593348773859447
-43.39790578298616,-22.97601957962734,0.5950608126465237
-43.3978509051405,-22.97603164496929,0.5970086287557796
-43.39779602729486,-22.976043710311245,0.5991969159309929
-43.3977411494492,-22.976055775653194,0.6016003713290738
-43.39768627160355,-22.976067840995142,0.603982017938203
-43.397631393757905,-22.976079906337098,0.6062109398263723
-43.39757651591225,-22.976091971679047,0.6083488365703141
-43.39752163806661,-22.976104037021,0.6105005545853817
-43.39746676022095,-22.97611610236295,0.6127145513944673
-43.3974118823753,-22.976128167704903,0.6149194490830427
-43.39735700452965,-22.976140233046856,0.6170631995008709
-43.397302126684,-22.976152298388804,0.6191935355098116
-43.397247248838354,-22.976164363730756,0.6213710221506393
-43.3971923709927,-22.97617642907271,0.6236256586250165
-43.397137493147056,-22.976188494414657,0.6258784517317553
-43.3970826153014,-22.976200559756613,0.6279765774016101
-43.397027737455744,-22.97621262509856,0.6299239779596736
-43.3969728596101,-22.976224690440517,0.631700407287169
-43.396917981764446,-22.976236755782466,0.6335312487899677
-43.396863103918804,-22.97624882112442,0.6353407735703962
-43.39680822607315,-22.97626088646637,0.6374206424148016
-43.3967533482275,-22.97627295180832,0.6398000952204458
-43.39669847038185,-22.97628501715027,0.6427771485609787
-43.3966435925362,-22.976297082492223,0.646619991805279
-43.39658871469055,-22.976309147834176,0.6516468214240797
-43.396533836844895,-22.976321213176128,0.6589459938694535
-43.39647871017003,-22.976332687304776,0.662053902248816
-43.396423402765464,-22.976343732023267,0.6622317657190825
-43.396368206136174,-22.976355039941605,0.6633261671937367
-43.396313228364946,-22.9763670183231,0.6663820187535149
-43.39625829538532,-22.976379665641453,0.6662041204691002
-43.396204041566634,-22.9763939351881,0.6687897757614807
-43.39615028968244,-22.97641013851646,0.6702791010182754
-43.396097284443705,-22.97642871346951,0.6680803446654185
-43.396046343716776,-22.976450629643885,0.6675925438839467
-43.39599769762383,-22.97647639608398,0.6666593328271545
-43.39595193546856,-22.976506308695566,0.6624532040965923
-43.39591064919496,-22.97654056027251,0.6583771169876503
-43.39587492612979,-22.976578982766842,0.6562982793490342
-43.39584534898251,-22.97662104728874,0.6569693541679704
-43.39582199584529,-22.976665864106554,0.658301482541375
-43.3958049282811,-22.976713342334403,0.6646483806843301
-43.395793759467836,-22.976763163851125,0.675000727510466
-43.39578750846273,-22.97681443703553,0.6856773644128275
-43.39578500165425,-22.976866355473476,0.6942416066194579
-43.39578543057697,-22.976918895418926,0.7036519492961714
-43.3957871328002,-22.97697129148429,0.7084264520489534
-43.395789410076006,-22.97702346836944,0.7103907876775029
-43.39579197079518,-22.977075693721314,0.713326295449505
-43.39579362156499,-22.977127763478556,0.7102107268522468
-43.39579450392897,-22.977179701844072,0.7039008012233575
-43.39579538629294,-22.97723164020958,0.70079891570395
-43.39579626865691,-22.977283578575097,0.6998811920454625
-43.39579715102088,-22.977335516940602,0.7004848391275387
-43.39579803338485,-22.97738745530612,0.7019876086517628
-43.39579891574883,-22.97743939367163,0.7040882503990946
-43.39579979811279,-22.977491332037143,0.7063214072529573
-43.39580068047677,-22.977543270402656,0.708543293508489
-43.39580156284073,-22.977595208768168,0.7106300453773298
-43.39580244520471,-22.97764714713368,0.7124904116598225
-43.39580332756868,-22.977699085499193,0.7141416440783018
-43.39580420993265,-22.977751023864705,0.715626855599072
-43.39580509229662,-22.977802962230218,0.7171560845091826
-43.39580597466059,-22.97785490059573,0.7187620045218497
-43.39580685702457,-22.97790683896124,0.7204167049439664
-43.39580773938853,-22.977958777326755,0.7220382827522627
-43.39580862175251,-22.978010715692264,0.7236068839216554
-43.39580950411647,-22.97806265405778,0.7251597498921735
-43.39581038648045,-22.97811459242329,0.7267096044268777
-43.39581126884442,-22.9781665307888,0.7282513142746423
-43.39581215120839,-22.978218469154314,0.7297733666853857
-43.39581303357236,-22.978270407519826,0.7312818636302598
-43.39581391593633,-22.97832234588534,0.7327754830716492
-43.3958147983003,-22.978374284250854,0.7342511371640685
-43.39581568066427,-22.978426222616363,0.7357198684279878
-43.39581656302825,-22.978478160981876,0.7371794592390971
-43.39581744539221,-22.978530099347385,0.7386161812659242
-43.39581832775619,-22.9785820377129,0.7400096715211707
-43.39581921012015,-22.978633976078413,0.7414118296470897
-43.39582009248413,-22.978685914443925,0.7427813435843476
-43.3958209748481,-22.978737852809438,0.7442153828552451
-43.39582185721207,-22.978789791174947,0.7458503326331527
-43.39582273957604,-22.978841729540463,0.747113596710238
-43.39582362194001,-22.97889366790597,0.747890024920342
-43.39582450430399,-22.978945606271484,0.7487030562284609
-43.39582538666795,-22.978997544636997,0.7511440659717288
-43.39582626903193,-22.97904948300251,0.7535726615482746
-43.39582715139589,-22.97910142136802,0.7522765966623574
-43.39582803375987,-22.979153359733534,0.7480944021399861
-43.39582891612384,-22.979205298099046,0.7473670841585399
-43.39582979848781,-22.979257236464555,0.7587098514452993
-43.39583068085178,-22.97930917483007,0.7773602738434741
-43.39583156321575,-22.97936111319558,0.7933817216858616
-43.39583173581882,-22.979413146103806,0.7933132438361016
-43.39583149323444,-22.97946523431649,0.7802802529645619
-43.39583158334669,-22.97951727821279,0.7617422703759593
-43.39583167746176,-22.97956964215992,0.72801237326208
-43.395832582798256,-22.979622111226934,0.6825981940478362
-43.3958357216451,-22.979674136784627,0.6354103533138481
-43.395842205224184,-22.979725273219923,0.58870217393798
-43.39585255168966,-22.979775465850842,0.534571646109903
-43.39586690644549,-22.979824825988388,0.5401702072363121
-43.39588612859614,-22.979872521700074,0.5995485084329694
-43.39591064616786,-22.979917957304146,0.6426299485052364
-43.39593997850001,-22.979961789966573,0.6865656064172024
-43.39597414811149,-22.980002924523117,0.723732042008548
-43.396012690127236,-22.980040621929287,0.7503550668661731
-43.39605458167118,-22.980075095790813,0.7712410313408952
-43.39609978757845,-22.980106030147958,0.7816201754897562
-43.39614782520885,-22.980132825248017,0.7823910238021409
-43.396197750227465,-22.98015636321591,0.7850389957565257
-43.39624976731362,-22.980175541370507,0.7774452838924862
-43.3963038017959,-22.9801894905103,0.7669913047360154
-43.39635956923884,-22.980198793700026,0.7705910690348756
-43.396415687238076,-22.98020301276792,0.7800934383830761
-43.3964712406291,-22.980201798110645,0.8036589850604043
-43.39652611759705,-22.980194545534374,0.7967281237213487
-43.39657965207152,-22.980181782332522,0.8047685188544046
-43.39663122137303,-22.980164536103924,0.7951410779762368
-43.39668120939695,-22.980142284601936,0.7956215383779504
-43.39672958545204,-22.98011598069711,0.7845452323378881
-43.39677640925864,-22.9800869774811,0.7801062551123241
-43.39682196944703,-22.980055858149235,0.7738080266625518
-43.396866674841945,-22.980023354494694,0.7688523407076736
-43.39691099313741,-22.97999086502041,0.7702327645210528
-43.3969550883687,-22.979958146119056,0.7714896833539242
-43.39699932133749,-22.979925655120546,0.7737659858894669
-43.397044070255134,-22.979894017819916,0.7828096802254714
-43.39708881917279,-22.97986238051929,0.7882624615112099
-43.39713356809044,-22.979830743218663,0.7916724412864621
-43.397178317008084,-22.979799105918033,0.7933367405968931
-43.39722306592574,-22.97976746861741,0.7942371101739408
-43.39726781484339,-22.97973583131678,0.7946594826727241
-43.39731256376104,-22.97970419401615,0.7949717484294082
-43.39735731267869,-22.979672556715528,0.7954724551918178
-43.39740206159634,-22.979640919414898,0.7958859982517306
-43.397446810514,-22.979609282114275,0.7962557178131985
-43.39749155943164,-22.979577644813645,0.7959881014877044
-43.397536308349295,-22.97954600751302,0.7950046890041732
-43.39758105726695,-22.979514370212392,0.7927259730734401
-43.39762585547325,-22.979482790717462,0.7896972862777063
-43.39767066505959,-22.979451224569036,0.7845962038151142
-43.397715833725854,-22.979419949965987,0.7817494027764149
-43.39776154770295,-22.97938911233358,0.7847738243561873
-43.397807063334405,-22.979358081695125,0.7887083049600813
-43.397852061900636,-22.979326485986284,0.7939516032845529
-43.39789605546552,-22.97929391174322,0.8004358150707455
-43.397938251098545,-22.979259835702777,0.805210030311442
-43.39797829687543,-22.979223957774416,0.8080007548166855
-43.398015929172765,-22.979186085088898,0.810610295668623
-43.398050487277374,-22.979145972426966,0.8083798963674707
-43.398082390531286,-22.97910364925508,0.8085882887228726
-43.39811099537967,-22.979059135413838,0.8077874892072673
-43.39813576108614,-22.97901259577674,0.8047205586173812
-43.39815675823709,-22.978964372919016,0.8006937328378553
-43.39817414685554,-22.978914885408468,0.7979054467520686
-43.398188196487226,-22.978864787420207,0.7978341992422664
-43.398199224409446,-22.97881423560956,0.8025541424471173
-43.398206644951756,-22.97876303536934,0.8045827368295339
-43.39821070927875,-22.978711519964257,0.8063694766738538
-43.398211452556076,-22.978659795511838,0.8060847709801972
-43.39820904239354,-22.97860791651484,0.8026621712832863
-43.398204202980054,-22.978556099524276,0.7992162634432447
-43.39819747945502,-22.97850443658005,0.796180803259582
-43.39818926296197,-22.97845290344725,0.7929429908174543
-43.39818051137736,-22.978401596554527,0.7945972006465678
-43.39817082218725,-22.978350410502905,0.794741830067379
-43.398160432684776,-22.978299303437673,0.7938240607258128
-43.39814983188497,-22.97824824556001,0.7936673726148885
-43.398139185847214,-22.97819721113646,0.7940258385048155
-43.39812857976811,-22.978146171849396,0.7939574067687232
-43.398118340265604,-22.978095087944922,0.7960388394930642
-43.39810813809262,-22.978043999496933,0.7972746532803681
-43.39809793591964,-22.977992911048947,0.7977819096932286
-43.39808773374665,-22.97794182260096,0.797905137611207
-43.39807753157366,-22.97789073415297,0.7977486668709605
-43.398067329400675,-22.97783964570498,0.79743920841151
-43.3980571272277,-22.97778855725699,0.7969675887842781
-43.39804692505471,-22.977737468809007,0.7963377948679357
-43.39803672288173,-22.97768638036102,0.7956790827988988
-43.39802652070874,-22.977635291913032,0.7952305734829742
-43.39801631853575,-22.977584203465042,0.7954784382502693
-43.39800608773085,-22.977533119088687,0.7966455869399186
-43.39799565588828,-22.977482063301135,0.7972064822352257
-43.397985206751954,-22.97743100997286,0.798954536402259
-43.39797489523275,-22.97737993707458,0.8025014747989884
-43.397964445424044,-22.977328828406495,0.8053556573991918
-43.39795373798036,-22.977277671071523,0.8045091470745452
-43.39794358441192,-22.97722645214442,0.8055313342527408
-43.397933812574585,-22.977174891105395,0.8032368149128177
-43.39792477685243,-22.977122933616016,0.7951151572704926
-43.39791812987482,-22.977071003843324,0.7875819716608811
-43.39791515763082,-22.977019460101413,0.7831330552053621
-43.39791641209122,-22.976968326460995,0.7811681184335775
-43.397922474166066,-22.97691785013317,0.7808859682277001
-43.39793402059425,-22.976868550336107,0.7878587877799426
-43.3979502535427,-22.976819240108405,0.7869409268061629
-43.397971844806534,-22.976771468943483,0.7832769155251575
-43.39799927598962,-22.976726453445245,0.7800886198092966
-43.39803227831373,-22.976685101886112,0.7781188241127484
-43.398070028884106,-22.976647986296857,0.7760233431831784
-43.398111924711614,-22.976615287975612,0.7750709504737349
-43.398157530277,-22.97658681388931,0.7758139416693615
-43.39820549161109,-22.97656226587006,0.7739430125465905
-43.39825564946544,-22.97654151991236,0.7731449657258621
-43.39830834525027,-22.97652439923945,0.7779667223833344
-43.39836284876939,-22.976510160228628,0.7847189757876447
-43.398418206985426,-22.976497769927235,0.7901761758397591
-43.39847396633665,-22.976486438185724,0.7935803024431423
-43.3985297500782,-22.976475500675285,0.7970975623492967
-43.39858462093436,-22.976463382921438,0.7860655921638267
-43.39863952268226,-22.97645141478549,0.7791243980080101
-43.39869440816189,-22.97643940457348,0.7729317398262111
-43.398749217187216,-22.976427146049907,0.7671528434293396
-43.39880402204875,-22.976414690203775,0.7623359725745991
-43.398859028903374,-22.9764023479033,0.7642228645644682
-43.3989138208398,-22.976389290027818,0.7674840919722088
-43.39896810698954,-22.97637502764874,0.7700190972357447
-43.39902163369985,-22.976359098693127,0.7704252384739368
-43.399074562092885,-22.976341587464105,0.772059647706413
-43.39912657899182,-22.97632210576114,0.7737409877004529
-43.39917734679493,-22.97630030843627,0.7731979067435565
-43.399226655228354,-22.976276067302887,0.7701320869640901
-43.39927468966619,-22.976249675755508,0.7684842669793907
-43.399321433258514,-22.976220995016664,0.7676613698543092
-43.39936651292658,-22.976189892491853,0.7648427084060665
-43.39940974852979,-22.976156478538492,0.7591810706467997
-43.39945122067636,-22.976121144506454,0.7518396120701624
-43.39949146198525,-22.976084670032524,0.7497351256013385
-43.39953025114928,-22.976047205645976,0.7516464288560789
-43.39956701131453,-22.97600801912132,0.7482434935081302
-43.399601994697065,-22.975967318784235,0.7425372996034597
-43.399635999343126,-22.97592557986733,0.7432899481143536
-43.399668462925526,-22.975882944969186,0.7487589715707067
-43.39969848735237,-22.975838989994706,0.7520270916225307
-43.399725804529325,-22.975793676364496,0.7529495587972656
-43.39975042840021,-22.9757471835198,0.7536148354896826
-43.39977230162287,-22.97569978632623,0.7551444965764511
-43.39979115895336,-22.975651480594536,0.7553406900639664
-43.39980672310088,-22.975602099011873,0.7507436672898516
-43.3998194069953,-22.975551818112972,0.7442133448161299
-43.39982947796963,-22.975500878794968,0.736428776579266
-43.39983735436431,-22.97544953300772,0.7279129380543784
-43.39984366995271,-22.975397661520816,0.7212151892425949
-43.39984898387989,-22.97534548806719,0.7190395234956529
-43.39985331740914,-22.97529337298245,0.7215149629375281
-43.39985651682383,-22.975241544733045,0.7285778689073613
-43.39985741241337,-22.975189790874182,0.7315676892516721
-43.39985616911623,-22.975138086821126,0.7344624165771894
-43.39985247529528,-22.97508660952343,0.7359329393447434
-43.3998460007896,-22.97503547397689,0.7346644268123919
-43.39983642875594,-22.974984737139337,0.7275448087364293
-43.39982448822476,-22.974934128855963,0.7215823976385317
-43.39981038673034,-22.9748837436829,0.7187495433111908
-43.39979386602809,-22.974833951673205,0.7154029963433363
-43.399774642596384,-22.97478500698044,0.7099488253198097
-43.3997529749775,-22.97473707599785,0.7012167941595728
-43.39973028809909,-22.974689393291673,0.7062409655051477
-43.39970558460692,-22.974642730842515,0.7138100910333964
-43.39967789280412,-22.974597740457202,0.7181205065375195
-43.39964699676839,-22.97455483020456,0.7176163602013548
-43.39961301492403,-22.974514143099007,0.7129149373530956
-43.39957655227622,-22.974475059939415,0.7136874873197973
-43.399537081079096,-22.9744383284083,0.7113097330102136
-43.399494751827255,-22.974404300195467,0.7059647132649123
-43.39945000866219,-22.974373046746194,0.698323591896766
-43.39940358937231,-22.97434435926123,0.6914029449187846
-43.39935553001443,-22.974317374263464,0.691967035874045
-43.399305623399044,-22.97429277261678,0.6923266226740362
-43.39925418115257,-22.974270907883284,0.6925593770726525
-43.3992017122384,-22.974251775930952,0.6931250204377731
-43.39914892295687,-22.974235014933665,0.6995561375125819
-43.399095062697434,-22.97422153973217,0.7005222247334131
-43.399040263472756,-22.97421123042516,0.6964778438669194
-43.398984768705006,-22.97420369431166,0.6906972449846709
-43.39892890776878,-22.974198291042065,0.6843369868762189
-43.39887301951177,-22.974194272990893,0.6830480173221233
-43.39881676907284,-22.97419203919166,0.677835394028653
-43.398760255278916,-22.9741911027837,0.6710987124626476
-43.39870360603802,-22.974190833641252,0.6639953622455754
-43.39864697833931,-22.974190458373474,0.6588251231243796
-43.39859055825303,-22.974189060324427,0.6627795622340505
-43.39853416123101,-22.974187548651678,0.6649889520332413
-43.39847776420899,-22.97418603697892,0.6661965391399024
-43.39842136718698,-22.974184525306164,0.6657275534911632
-43.39836497016496,-22.974183013633407,0.6646584830803408
-43.39830857314294,-22.974181501960658,0.6629303192451631
-43.39825217612092,-22.974179990287897,0.6608594263256743
-43.398195779098906,-22.974178478615144,0.6586753809526062
-43.39813938207689,-22.97417696694239,0.6561207600867679
-43.39808298505487,-22.97417545526963,0.653751138143368
-43.39802658803285,-22.97417394359688,0.6515178051384258
-43.39797019101084,-22.974172431924124,0.6496191623242336
-43.39791379398882,-22.97417092025137,0.647744827128412
-43.3978573969668,-22.97416940857861,0.6457391248767804
-43.39780099994478,-22.97416789690586,0.6436445024819888
-43.39774460292277,-22.974166385233104,0.6415125195688054
-43.39768820590075,-22.974164873560348,0.6394338226651133
-43.39763180887873,-22.97416336188759,0.6373545828233464
-43.39757541185672,-22.974161850214834,0.6352596186091202
-43.3975190148347,-22.974160338542085,0.6331455737140328
-43.39746261781268,-22.974158826869328,0.6310237698343041
-43.397406220790664,-22.97415731519657,0.6289023278429549
-43.39734982376865,-22.974155803523814,0.6267767644650157
-43.397293426746636,-22.974154291851065,0.6246371651900376
-43.39723702972461,-22.974152780178308,0.6224765942818152
-43.39718063270259,-22.97415126850555,0.6202948804013358
-43.39712423568058,-22.974149756832794,0.618120686787092
-43.39706783865856,-22.97414824516004,0.61597931536696
-43.397011441636536,-22.974146733487288,0.6138605758645578
-43.39695504461453,-22.97414522181453,0.6117550702378044
-43.39689864759251,-22.974143710141774,0.6096101237932415
-43.39684225057049,-22.974142198469018,0.6074228260919392
-43.39678585354847,-22.974140686796268,0.6051293159088407
-43.39672945652646,-22.974139175123508,0.6027216529571234
-43.39667305950444,-22.974137663450758,0.6001705352096767
-43.39661666248242,-22.974136151777998,0.597440374469214
-43.39656026546041,-22.974134640105248,0.5944793168093372
-43.396503868742656,-22.97413307623865,0.5917021001006575
-43.396447472786065,-22.974131381801143,0.590139836222871
-43.396391076784056,-22.974129695156016,0.5888961490609184
-43.39633468006012,-22.97412813235044,0.5876699796636471
-43.39627828206785,-22.974126787115488,0.5862784240518585
-43.396221882390925,-22.974125730866056,0.584643633480497
-43.396165480743136,-22.97412501270095,0.5827352990983321
-43.39610907696833,-22.974124659402843,0.5805055644325221
-43.39605267104049,-22.974124675438283,0.5780083511602843
-43.39599626306367,-22.974125042957684,0.5751865767877259
-43.39593985327201,-22.974125721795346,0.572129873185542
-43.39588344202974,-22.974126649469433,0.5688608831198579
-43.39582702983121,-22.97412774118198,0.5655226049657992
-43.39577061730083,-22.974128889818918,0.5623747656605028
-43.395714205193144,-22.97412996595002,0.5599790788989059
-43.395657793795905,-22.974130920209177,0.5585618365748886
-43.39560138239866,-22.97413187446834,0.5568116748306817
-43.395544971001414,-22.974132828727498,0.5549011066047195
-43.395488559604175,-22.97413378298666,0.5528227673440519
-43.395432148206936,-22.974134737245816,0.5506291524378731
-43.3953757368097,-22.974135691504976,0.5483300844785794
-43.395319325412444,-22.974136645764137,0.5459567107086212
-43.395262914015206,-22.974137600023298,0.5435620970884825
-43.39520650261797,-22.974138554282455,0.5411491852333385
-43.39515009122073,-22.97413950854162,0.5387731274554718
-43.39509367982348,-22.974140462800776,0.5364248052086352
-43.395037268426236,-22.974141417059933,0.5341076897272015
-43.394980857029,-22.974142371319093,0.5317835304053862
-43.39492444563176,-22.974143325578254,0.5294401289654185
-43.39486803423452,-22.974144279837414,0.5270860677772802
-43.394811622837274,-22.974145234096575,0.5247306802213103
-43.39475521144003,-22.974146188355736,0.522381337503559
-43.39469880004279,-22.97414714261489,0.5200306006027157
-43.39464238864555,-22.974148096874053,0.5176772785986301
-43.394585977248305,-22.97414905113321,0.5153218883808579
-43.39452956585106,-22.974150005392374,0.5129660805330285
-43.39447315445382,-22.97415095965153,0.5106098996126708
-43.39441674305658,-22.974151913910692,0.5082526943876532
-43.39436033165934,-22.974152868169853,0.5058950381091328
-43.39430392026209,-22.974153822429013,0.5035370519038821
-43.39424750886485,-22.974154776688167,0.5011788252294239
-43.39419109746761,-22.97415573094733,0.4988205398276179
-43.394134686070366,-22.974156685206488,0.49646231954293735
-43.39407827467312,-22.97415763946565,0.4941043177801729
-43.39402186327588,-22.97415859372481,0.49174668732932925
-43.39396545187864,-22.974159547983966,0.4893895549121033
-43.393909040481404,-22.97416050224313,0.48703308981690135
-43.39385262908416,-22.974161456502287,0.48467741884772686
-43.39379621768691,-22.974162410761444,0.4823227003460491
-43.393739806289666,-22.97416336502061,0.47996907654079424
-43.393683394892435,-22.974164319279765,0.47761669072243423
-43.393626983495196,-22.974165273538922,0.47526569075423786
-43.39357057209794,-22.974166227798086,0.47291621196535233
-43.393514160700704,-22.974167182057244,0.47056841046146464
-43.393457749303465,-22.9741681363164,0.4682224263247706
-43.393401337906226,-22.974169090575568,0.46587840609857484
-43.39334492650898,-22.97417004483472,0.46353652751796603
-43.393288515111735,-22.974170999093886,0.4611968031231452
-43.393232103714496,-22.974171953353043,0.4588596268257033
-43.39317569231726,-22.9741729076122,0.45652516711247393
-43.39311928092002,-22.974173861871364,0.45419232774263973
-43.39306286952277,-22.97417481613052,0.45186322679270274
