t_lon,t_lat,alpha
-46.70000195331133,-23.70338164159717,0.5007455922064611
-46.700035948994184,-23.703254901837873,0.5024150948282106
-46.70006780487532,-23.70313558487002,0.5046802128972735
-46.70009620382493,-23.70302866406994,0.5067438765267456
-46.70011983760792,-23.70293911483421,0.5096416429051775
-46.70013740688389,-23.702871914579617,0.5163657257079575
-46.70014762120712,-23.702832042743168,0.5174588827409587
-46.7001491990266,-23.702824480782088,0.5148342416904665
-46.700161223904885,-23.702778165879828,0.5185670348861667
-46.70017324878318,-23.702731850977575,0.5208482637629233
-46.700185273661475,-23.702685536075318,0.52391712745045
-46.70019729853976,-23.702639221173058,0.5261828285352812
-46.70020932341805,-23.702592906270805,0.5281863119930268
-46.700221348296346,-23.702546591368552,0.5305215296061659
-46.70023337317464,-23.7025002764663,0.5329187709618748
-46.700245398052935,-23.702453961564043,0.5354457802178879
-46.70025739097607,-23.70240763940709,0.5378910554644786
-46.70026934187541,-23.702361307709584,0.5400756839964116
-46.70028130386504,-23.702314978529877,0.5422627547568803
-46.70029332125738,-23.702268661928102,0.5445527965777429
-46.700305429563194,-23.702222365966183,0.5470367237798117
-46.700317655491524,-23.7021760967078,0.5494196996509012
-46.70033001694978,-23.70212985821842,0.5515940730557727
-46.700342523407336,-23.702083652643964,0.5532092777823442
-46.700355322113595,-23.70203751184308,0.5558358334678402
-46.70036828160741,-23.701991407285096,0.5586904712713654
-46.7003812805506,-23.70194531253521,0.5612892075377729
-46.7003942077279,-23.701899203254477,0.5633810488243869
-46.70040696204704,-23.701853057199813,0.564798936437181
-46.700419656210165,-23.701806887937337,0.5677097475674998
-46.7004320706683,-23.70176065445652,0.570706615187986
-46.70044402791176,-23.70171432698064,0.5730190390361108
-46.70045543476898,-23.701667892827217,0.5742432112219397
-46.70046639769269,-23.701621356667612,0.5761091042203174
-46.700476905091065,-23.701574717433076,0.5792498785631665
-46.70048669510903,-23.701527956589537,0.5821568638177439
-46.700495601526896,-23.70148106881203,0.5843833607089296
-46.70050355376043,-23.701434061984685,0.5860998071989154
-46.70051057614735,-23.701386957046402,0.5881182019541666
-46.70051668409473,-23.7013397279971,0.5906735069858537
-46.700521840009785,-23.701292386391415,0.5934821539032884
-46.70052599607463,-23.701244951826883,0.5955740483240289
-46.70052921249413,-23.701197453402205,0.5969997682295765
-46.70053165749593,-23.701149929717246,0.5986212368787288
-46.70053356576249,-23.701102338383617,0.6019054154914159
-46.70053478031056,-23.70105470778035,0.6042819822032737
-46.70053522597899,-23.70100707778898,0.6049915995267433
-46.700535113510085,-23.700959459967017,0.6062592554017588
-46.70053449513638,-23.700911819374628,0.610518314924377
-46.70053271532027,-23.70086422832822,0.6138127827453455
-46.7005294444463,-23.700816759109088,0.6160368507929098
-46.70052450248077,-23.70076946832547,0.6177800121252841
-46.700517822386274,-23.70072240539136,0.6200569332581611
-46.700509400227396,-23.70067562408985,0.6225984875981048
-46.700499297647795,-23.700629093926043,0.6248074452647338
-46.70048774361521,-23.70058277490083,0.6262054074152711
-46.700475121273605,-23.700536617348742,0.627436773048698
-46.700461907659985,-23.70049056119452,0.6288992341833025
-46.70044867370433,-23.700444535953135,0.6323327203575584
-46.70043538211362,-23.700398508511718,0.633553436446905
-46.70042244110217,-23.700352393146268,0.6345775771075692
-46.70041013675002,-23.70030614023024,0.6366017280023717
-46.70039848521043,-23.700259751913553,0.6406572518843678
-46.70038697750012,-23.700213329105136,0.6430963130988799
-46.7003754645039,-23.700166905863917,0.6452275796639825
-46.700363789217775,-23.700120518216373,0.6473517868033648
-46.70035178674892,-23.70007420415652,0.6492886983391725
-46.7003393560792,-23.70002798701439,0.650584606711367
-46.70032665760655,-23.699981829674748,0.6530231545097799
-46.70031365891178,-23.6999357377798,0.6563571574284867
-46.700300159173196,-23.699889749280352,0.657797942818705
-46.700286493264244,-23.699843797377238,0.6588689228219433
-46.70027296859044,-23.69979782014576,0.6601679447557041
-46.70025986508945,-23.699751760535754,0.6619537782399599
-46.70024743523102,-23.699705566371502,0.6645466301687957
-46.700235673154566,-23.699659241905206,0.6668622727324331
-46.700224626735206,-23.69961277813015,0.6687966010249374
-46.7002143108031,-23.699566172159514,0.6702173229427969
-46.70020474412154,-23.699519421021094,0.6713768400279327
-46.700196002590545,-23.69947251205648,0.6737478176361381
-46.700187777997904,-23.699425502546298,0.6761782549377775
-46.70017974853171,-23.699378452849665,0.6788690281221181
-46.70017157878047,-23.69933142640416,0.6815164544572754
-46.700162919733,-23.69928448972584,0.6837157407226042
-46.70015351813859,-23.699237691121358,0.6842583359317754
-46.70014362170536,-23.69919098181265,0.6859074487540199
-46.70013322139486,-23.69914436343074,0.6878322662821152
-46.700122338524736,-23.69909783212876,0.689561673699649
-46.70011109431174,-23.699051362676492,0.6913204334885966
-46.700099566515554,-23.699004941247935,0.6933622767576217
-46.70008777375022,-23.698958569009566,0.6949876879526138
-46.70007578078402,-23.6989122380367,0.6962770508472709
-46.7000636985394,-23.698865931313506,0.698067220179586
-46.70005159015723,-23.698819639684157,0.7008491228040182
-46.700039236169175,-23.698773404228405,0.7025218486842133
-46.70002662179385,-23.698727228326963,0.7030974222375529
-46.70001396168877,-23.69868105162417,0.7052419842634937
-46.700001134232686,-23.698634909233128,0.7076835024357315
-46.69998798839609,-23.698588845375735,0.7094413811298027
-46.699974421414105,-23.698542891523857,0.7095547109687869
-46.699960701676304,-23.69849694728991,0.712018791870427
-46.69994656234368,-23.69845111477852,0.7141817334666598
-46.699931810706886,-23.69840547380309,0.7156760730675114
-46.699916300745635,-23.698360060555128,0.7163690579843103
-46.69990012205678,-23.69831479779282,0.7191097713574236
-46.69988284680264,-23.69826989578269,0.7213085808417854
-46.69986418260358,-23.698225509113485,0.7217200488998609
-46.699844349998514,-23.698181480540345,0.7239463076551917
-46.69982299682674,-23.698138077717292,0.7255143755901785
-46.699799954750674,-23.69809547953507,0.7253288443370106
-46.69977555426249,-23.69805349975514,0.7287154911874348
-46.699749305055015,-23.69801249503919,0.7309823245501416
-46.69972104893326,-23.697972667889633,0.7324689600454465
-46.699690888583845,-23.697934064790456,0.7333014104684129
-46.6996590721391,-23.697896663671585,0.7359921549852309
-46.69962539139242,-23.697860575769504,0.7355478060072449
-46.699590281535315,-23.69782548144806,0.7359039580352621
-46.69955412413842,-23.697791206737165,0.7378363854532505
-46.69951707952537,-23.697757791706724,0.740621877856619
-46.69947893131332,-23.69772535851731,0.740583263187481
-46.69943999624945,-23.69769366894019,0.7416359812534993
-46.69940047130879,-23.69766274339441,0.7449056262991256
-46.69935995989357,-23.697632955685226,0.7460797949863005
-46.69931856001065,-23.697604294534855,0.7465327019193461
-46.69927647666797,-23.697576627138655,0.7495718274088808
-46.699233400363426,-23.697550244437714,0.7511009473130054
-46.69918940892474,-23.697525069904366,0.7515611650945296
-46.69914470156273,-23.697500840429335,0.7516901125278453
-46.69909946560182,-23.697477304356976,0.7527693995945773
-46.699053832179345,-23.697454361720627,0.7535769828930792
-46.69900802894696,-23.697431774699655,0.7556524204691862
-46.6989620153315,-23.697409590609297,0.7574548922880054
-46.6989157177367,-23.697387913578584,0.7580398992560721
-46.69886922607445,-23.69736663282056,0.7591248575451616
-46.69882256855943,-23.697345722212773,0.7615089714897368
-46.69877559204035,-23.69732542061371,0.762688760560174
-46.69872830314857,-23.697305717821592,0.7629745551987882
-46.698680803916744,-23.697286382942245,0.7643846376489064
-46.698633091025364,-23.697267450054692,0.7656535014497869
-46.6985851682381,-23.697248946206,0.765090258388676
-46.69853715416301,-23.697230556024945,0.7656455376531359
-46.69848907677613,-23.69721230274185,0.7678129903724613
-46.698440845839734,-23.69719448997642,0.7703483282723266
-46.69839231483877,-23.697177498276215,0.77144320411059
-46.69834344250737,-23.697161483042205,0.7722018132443929
-46.698294203778076,-23.69714654458413,0.7734037883137304
-46.69824456592024,-23.6971327790115,0.7745571853759282
-46.69819454413323,-23.69712015966654,0.7754364203743087
-46.698144179514244,-23.697108584113572,0.7754754175013321
-46.69809355682088,-23.69709778942923,0.7759153718178692
-46.69804276586428,-23.697087536318854,0.7769134540676151
-46.69799190314312,-23.69707760132333,0.778514595420847
-46.69794094726636,-23.697068024176833,0.7782553214010803
-46.69788996203923,-23.69705855709485,0.7778043119472772
-46.697839032289,-23.69704892035206,0.7807921259081837
-46.69778806953573,-23.69703949500689,0.7832156394440375
-46.69773701972511,-23.697030529697507,0.7836434104819127
-46.697685867435865,-23.697022126697085,0.7807012757595788
-46.69763458783518,-23.697013657554365,0.782009563931349
-46.69758319045672,-23.697005520514146,0.7841504529987208
-46.69753166248695,-23.696998169189257,0.7854211817730685
-46.69748001810124,-23.696991997242932,0.785643337109431
-46.69742828946283,-23.696987395872966,0.7863034400858315
-46.69737657408794,-23.696984756859756,0.7885549345325517
-46.69732500720555,-23.69698465925934,0.7903042489744746
-46.69727369674088,-23.696987475744436,0.7909282825448763
-46.69722273876075,-23.696993298945795,0.7908748720668775
-46.697172205753134,-23.69700199734694,0.7915406541330451
-46.6971221186648,-23.697013399452693,0.7926036207600227
-46.69707245529067,-23.69702723853481,0.7920693095433937
-46.69702318224173,-23.69704294208083,0.7906739320625535
-46.696974238630936,-23.697059739243848,0.7892870342461892
-46.696925546032226,-23.697076685458065,0.7921488622008286
-46.696877018290664,-23.697093951081012,0.7934914563176957
-46.696828529151865,-23.697111262489283,0.7937266413489664
-46.69677999634993,-23.697128387258047,0.7933733820694349
-46.696731370808486,-23.697145255433888,0.7927323801529919
-46.6966825079371,-23.69716158419146,0.7949932490015879
-46.696633557063436,-23.697177718724994,0.7968307835783001
-46.69658465892229,-23.697193950650515,0.7964794721571063
-46.69653575883078,-23.697210301501045,0.7943178537461183
-46.696486696260635,-23.69722663849461,0.7939274098890126
-46.69643746974866,-23.69724334123721,0.7944243616031504
-46.696388389090046,-23.697260922543542,0.7957192024421837
-46.696340058670096,-23.697280202360606,0.7963679187587059
-46.696293161309704,-23.697302038569646,0.7959501760970557
-46.69624863216929,-23.697327153841012,0.794810845794077
-46.69620761079895,-23.697356133655436,0.7937395768501506
-46.696171388595474,-23.697389351005178,0.796650800663301
-46.69614200100233,-23.697426354523866,0.8011350395577967
